sim_index,mu_0,mu_1,mu_2,mu_3,mu_4,mu_5,mu_6,mu_7,mu_8,mu_9,theta_0,theta_1,theta_2,theta_3,theta_4,theta_5,dominant_theta,gene
67,38.88111302,56.31173359,58.92276395,50.54222903,55.28005519,50.35169114,53.37293953,54.67901608,52.67464602,49.88116549,0.041039459,0.173695266,0.064327293,0.257122612,0.24210344,0.22171193,theta_3,NCU03775
68,25.23205345,55.21352481,53.38421987,49.2238998,58.77125834,49.86492207,45.68899322,46.83661333,59.36368419,50.06730049,0.287288669,0.064753439,0.02397026,0.169593498,0.208083428,0.246310705,theta_0,NCU02003
69,60.65671323,38.74084535,45.89721483,49.82027374,62.70786939,50.81799578,50.426516,48.86083267,60.54329118,48.64023781,0.108684087,0.165223414,0.327720647,0.139045887,0.13448262,0.124843345,theta_2,NCU02511
70,57.66708041,47.1125081,38.13138527,50.69412512,54.67753439,49.32131025,44.41314917,47.40487388,60.3220946,49.55188819,0.136911708,0.172322473,0.213189349,0.158035004,0.1579026,0.161638866,theta_2,NCU01296
71,49.83534045,39.49674916,0.13032199,49.09757804,0.250027847,49.25080326,38.4078213,41.00083733,66.44678627,49.64997887,0.684808859,0.063506404,0.059404,0.062794395,0.068755167,0.060731175,theta_0,NCU02027
72,63.3034325,33.05921728,39.02322391,50.77403363,55.95277411,49.62604433,41.36870232,45.25960153,58.64393509,50.15193552,0.144332885,0.154792791,0.120016424,0.189031526,0.199098947,0.192727427,theta_4,NCU02539
73,51.16625484,54.25322188,45.7051374,50.29861926,60.36492392,49.82478611,51.68619752,45.22223527,58.38127906,49.50511272,0.355454327,0.127247591,0.090959332,0.13530935,0.142664499,0.1483649,theta_0,NCU07131
74,37.26180222,42.5206125,38.05869745,49.8058476,50.63867386,51.17331146,46.84805178,48.0177397,58.32831984,50.36606231,0.372994373,0.072402245,0.028526664,0.14562423,0.175319615,0.205132873,theta_0,NCU00399
75,57.20473493,5.41208684,37.12784069,48.91184445,60.29655316,50.13071131,47.67284191,46.43408558,60.97478888,49.7367038,0.689687038,0.061236839,0.061561515,0.063278725,0.062520802,0.061715081,theta_0,NCU07846
76,55.09471062,4.087015874,34.30192063,50.91498642,60.54096099,50.4727172,45.21833353,37.29924681,60.51823837,49.95290551,0.745629145,0.043528878,0.038509075,0.054954021,0.060670403,0.056708478,theta_0,NCU08296
