sim_index,mu_0,mu_1,mu_2,mu_3,mu_4,mu_5,mu_6,mu_7,mu_8,mu_9,theta_0,theta_1,theta_2,theta_3,theta_4,theta_5,dominant_theta,gene
77,62.02753454,38.55019937,51.47179063,50.58350061,60.56492938,50.78321417,45.65355527,49.60184644,58.28690844,50.25047022,0.114878805,0.175642043,0.255135363,0.148472619,0.156232026,0.149639144,theta_2,NCU03801
78,63.17133352,5.246342104,43.04861961,48.76079678,58.34988243,49.47473165,46.34419104,45.92074869,64.7542706,49.95304522,0.782935818,0.045824249,0.038452869,0.044134251,0.044513881,0.044138933,theta_0,NCU06058
79,34.85194526,64.13105038,39.59715657,51.21698452,46.08748217,49.64838956,45.98919418,50.0471542,55.51432397,49.40359624,0.189311689,0.101580893,0.027749735,0.188608507,0.233157678,0.259591498,theta_5,NCU06334
80,52.85430283,5.983720481,29.0970692,50.12347816,59.3165994,49.56830513,42.58963746,38.00354843,61.79592329,50.26209174,0.656718639,0.055126297,0.040696263,0.083038703,0.082121185,0.082298914,theta_0,NCU08359
81,99.89058805,67.17106013,0.023123372,51.38269729,0.140012066,50.54345154,45.55590472,78.15127354,73.60973195,50.04092275,0.178371991,0.184445578,0.169362713,0.145825793,0.14466909,0.177324835,theta_1,NCU04815
82,56.29584772,49.96049777,45.82860863,50.65402038,60.38475008,51.0204561,51.12353905,46.95601069,58.08897689,51.69487926,0.108100248,0.186107725,0.248684821,0.160537322,0.150670678,0.145899205,theta_2,NCU05307
83,57.39877995,50.32318423,44.55983067,50.318578,60.83968471,50.48943096,46.94531865,46.65910459,60.21603575,49.27697608,0.159523318,0.180077933,0.16138311,0.169160208,0.169099406,0.160756024,theta_1,NCU03241
84,48.45429603,50.91557769,34.46248908,50.01981387,52.65918235,50.22552386,44.49434301,46.40251882,61.53334739,50.02202356,0.412774548,0.099162072,0.04696635,0.124493589,0.145676377,0.170927064,theta_0,NCU00032
85,60.85201533,40.34812495,32.94689629,51.53476115,57.36065253,51.23805201,46.52906214,44.38180542,60.11806103,50.58460594,0.124054082,0.160943857,0.093694866,0.198868963,0.209430389,0.213007843,theta_5,NCU02209
86,48.09952117,6.110643432,0.828178431,84.39271477,0.462377435,61.23905373,12.82545501,35.79326734,13.99895322,17.45294792,0.997541116,0.000114504,0.001566458,0.000306205,0.000304809,0.000166907,theta_0,NCU01384
87,22.88555109,15.26123176,45.38170967,49.77397434,60.92696406,49.67916439,50.13862398,52.56160985,58.4849815,50.09088617,0.738452363,0.045421919,0.023471597,0.054755842,0.063821578,0.074076701,theta_0,NCU05864
88,47.10771985,60.13475767,53.95552745,50.12589498,55.77979821,50.08215823,45.73415756,47.74256829,57.15195604,50.43333987,0.50172456,0.081904942,0.253390094,0.050028393,0.054128722,0.05882329,theta_0,NCU04819
89,42.19418837,35.99828742,51.00894574,49.94387219,54.08590288,50.60109418,54.12903848,50.03582456,68.03658247,49.43429028,0.596213654,0.066377732,0.189389648,0.047762044,0.050302646,0.049954275,theta_0,NCU08769
90,62.63739456,31.83879959,51.2547238,48.78377639,60.22159024,49.78115698,48.32222765,48.67635736,59.4829391,50.02877284,0.093344662,0.162155248,0.109399166,0.209935363,0.215949685,0.209215875,theta_4,NCU06275
91,38.09153789,59.76246286,48.2996152,49.24282822,49.52739996,49.06675174,47.50735191,45.3464658,54.62135035,49.5334788,0.190872359,0.16798767,0.153886249,0.161102807,0.16086386,0.165287054,theta_0,NCU01663
92,28.89434365,1.408103166,42.81447427,51.18102592,61.75249777,50.80811813,51.17919882,47.37405264,60.7753845,50.15255316,0.917992902,0.015104194,0.006772542,0.018235014,0.020469329,0.021426019,theta_0,NCU09169
93,21.17139495,60.13237692,43.6006109,49.42851986,58.02700358,50.50700115,47.80937224,46.63570808,58.39538132,48.99865247,0.14243873,0.16377895,0.073105236,0.210512883,0.205978914,0.204185287,theta_3,NCU09998
94,61.1778651,42.79326872,49.85121992,50.21201397,59.19659984,49.81523626,52.37276066,49.32100376,55.38680378,49.14596307,0.101503827,0.176049282,0.299910621,0.142700143,0.139761226,0.140074902,theta_2,NCU04952
