test_type,regulators,reg_a,reg_b,reg_c,n_a,n_b,n_c,observed_overlap,expected_overlap,direction,p_upper,p_value,q_value,significant_bh
pair,NCU07155 + rok-1,Reg4 NCU07155,PostReg9 NCU00919,,631,54,,0,11.260409781890285,depleted,1.0,5.777807279699791e-06,4.237058671779847e-05,True
triple,pro-1 + NCU06108 + NCU07155,Reg1 NCU07392,Reg3 NCU06108,Reg4 NCU07155,289,578,631.0,0,11.511109708370155,depleted,0.9999999999999991,1.3028328556032122e-05,9.245910588151829e-05,True
triple,WCC + NCU07155 + lhp-1,Wcc,Reg4 NCU07155,PostReg5 NCU08295,210,631,739.0,0,10.694370970426386,depleted,0.9999999999999988,2.953491382859512e-05,0.00020305253257159146,True
pair,pro-1 + rpn-4,Reg1 NCU07392,Reg2 NCU01640,,289,177,,3,16.90449438202247,depleted,0.9999976163924664,3.291866526230638e-05,0.0002194577684153759,True
pair,pro-1 + has-1,Reg1 NCU07392,PostReg10 NCU09349,,289,156,,2,14.898876404494382,depleted,0.9999981143393534,3.4594473420347766e-05,0.00022384659271989732,True
pair,WCC + rpn-4,Wcc,Reg2 NCU01640,,210,177,,1,12.28354263053536,depleted,0.9999980165282795,5.9819703934556436e-05,0.00037600956758864043,True
triple,WCC + NCU06108 + lhp-1,Wcc,Reg3 NCU06108,PostReg5 NCU08295,210,578,739.0,0,9.796111602070445,depleted,0.9999999999999993,7.72408876982541e-05,0.0004720276470448861,True
triple,rpn-4 + NCU07155 + lhp-1,Reg2 NCU01640,Reg4 NCU07155,PostReg5 NCU08295,177,631,739.0,0,9.013826960787954,depleted,0.9999999999999994,0.00017301207899139687,0.0010287204696785759,True
pair,WCC + pro-1,Wcc,Reg1 NCU07392,,210,289,,6,20.0561797752809,depleted,0.9999760125814812,0.00019410945426839597,0.001123791577343345,True
triple,NCU07155 + lhp-1 + rrp-3,Reg4 NCU07155,PostReg5 NCU08295,PostReg6 NCU04504,631,739,173.0,0,8.810124656589355,depleted,0.9999999999999984,0.00021424635821210537,0.0012085692001708509,True
pair,NCU03363 + has-1,PostReg7 NCU03363,PostReg10 NCU09349,,160,156,,0,8.248512888301388,depleted,1.0,0.0003312389385412479,0.0018218141619768633,True
triple,WCC + NCU06108 + NCU07155,Wcc,Reg3 NCU06108,Reg4 NCU07155,210,578,631.0,0,8.364474182552708,depleted,0.9999999999999993,0.00035460157418592793,0.0019027401541683937,True
triple,rpn-4 + NCU06108 + lhp-1,Reg2 NCU01640,Reg3 NCU06108,PostReg5 NCU08295,177,578,739.0,0,8.256722636030805,depleted,0.9999999999999992,0.00038812693366566147,0.0020330458430106078,True
